Rank,Airport,Location,Country,Code,TotalPassengers,RankChange,Year,Percent change numeric,PercentChangeSigned
1.0,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,108067766.0,,2024,3.3,3.3
2.0,Dubai International Airport,"Garhoud, Dubai, Dubai",United Arab Emirates,DXB/OMDB,92300000.0,,2024,6.2,6.2
3.0,Dallas Fort Worth International Airport,"Dallas–Fort Worth, Texas",United States,DFW/KDFW,87817864.0,,2024,7.4,7.4
4.0,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,85000000.0,1.0,2024,8.0,8.0
5.0,Heathrow Airport,"Hillingdon, London",United Kingdom,LHR/EGLL,83882140.0,1.0,2024,5.9,5.9
6.0,Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,82358744.0,,2024,5.8,5.8
7.0,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,80430740.0,,2024,3.9,3.9
8.0,O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,80043050.0,1.0,2024,8.6,8.6
9.0,Indira Gandhi International Airport,"Palam, Delhi",India,DEL/VIDP,77820834.0,1.0,2024,7.8,7.8
10.0,Shanghai Pudong International Airport,"Pudong, Shanghai",China,PVG/ZSPD,76787039.0,11.0,2024,41.0,41.0
11.0,Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,76587980.0,3.0,2024,2.0,2.0
12.0,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,76364767.0,,2024,20.9,20.9
13.0,Seoul Incheon International Airport,"Jung District, Incheon",South Korea,ICN/RKSI,70669246.0,7.0,2024,26.7,26.7
14.0,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,70290260.0,3.0,2024,4.3,4.3
15.0,Singapore Changi Airport,"Changi, East Region",Singapore,SIN/WSSS,67700000.0,2.0,2024,14.8,14.8
16.0,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,PEK/ZBAA,67367428.0,7.0,2024,27.4,27.4
17.0,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,66828453.0,3.0,2024,8.0,8.0
18.0,Adolfo Suárez Madrid–Barajas Airport,"Community of Madrid, Barajas",Spain,MAD/LEMD,66196984.0,3.0,2024,9.9,9.9
19.0,John F. Kennedy International Airport,"Queens, New York, New York",United States,JFK/KJFK,63265984.0,6.0,2024,1.9,1.9
20.0,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,SZX/ZGSZ,61477337.0,4.0,2024,16.6,16.6
21.0,Suvarnabhumi Airport,"Racha Thewa, Bangkok metro",Thailand,BKK/VTBS,59999324.0,5.0,2024,16.1,16.1
22.0,Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,59359539.0,6.0,2024,3.7,3.7
23.0,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,58811725.0,1.0,2024,10.0,10.0
24.0,Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS/KLAS,58447782.0,5.0,2024,1.4,1.4
25.0,Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,57211628.0,7.0,2024,0.9,-0.9
